,id,id_pais,anio,id_region,pbi,prod_carb_porc_anual,prod_carbon,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc,intensidad_carbono,CO2_emission,pm2_5_gm3,pm10_gm3,no2_gm3
24,AFG-2004,AFG,2004,0,22332571648.0,-2.857,0.197,-2.857,0.197,0.0,0.217,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.56,62.921,0.1,10.101,0.0,0.0,0.33,37.079,0.0,0.0,0.0,0.0,269.663,1.4145373819642506,,,
25,AFG-2005,AFG,2005,0,25397688320.0,-2.941,0.192,-2.941,0.192,0.0,0.217,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.59,63.441,0.1,9.709,0.0,0.0,0.34,36.559,0.0,0.0,0.0,0.0,268.817,1.4106497583986979,,,
26,AFG-2006,AFG,2006,0,28704401408.0,6.061,0.203,6.061,0.203,0.0,0.217,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.64,76.19,0.43,33.858,0.0,0.0,0.2,23.81,0.0,0.0,0.0,0.0,190.476,1.6067621001991628,,,
27,AFG-2007,AFG,2007,0,34507530240.0,594.286,1.411,594.286,1.411,100.0,0.434,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,78.947,0.61,39.103,0.0,0.0,0.2,21.053,0.0,0.0,0.0,0.0,168.421,1.4145373819642506,,,
28,AFG-2008,AFG,2008,0,36561043456.0,42.798,2.015,42.798,2.015,25.0,0.542,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.54,73.973,0.75,50.676,0.0,0.0,0.19,26.027,0.0,0.0,0.0,0.0,191.781,2.320909577922305,,,
29,AFG-2009,AFG,2009,0,44358721536.0,44.092,2.903,44.092,2.903,-40.0,0.325,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.78,82.979,1.15,55.024,0.0,0.0,0.16,17.021,0.0,0.0,0.0,0.0,138.298,2.9451828740439,,,
30,AFG-2010,AFG,2010,0,47399424000.0,45.0,4.209,45.0,4.209,372.996,1.539,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,79.787,1.57,62.55,0.0,0.0,0.19,20.213,0.0,0.0,0.0,0.0,159.574,12.461519557887069,,,
31,AFG-2011,AFG,2011,0,53326336000.0,104.138,8.592,104.138,8.592,13.742,1.751,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,76.923,2.25,74.257,0.0,0.0,0.18,23.077,0.0,0.0,0.0,0.0,179.487,15.588872609991743,,,
32,AFG-2012,AFG,2012,0,59166900224.0,-16.216,7.199,-16.216,7.199,-0.682,1.739,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.71,80.682,3.07,77.722,0.0,0.0,0.14,15.909,0.03,3.409,0.0,0.0,136.364,22.195877857607943,,,
33,AFG-2013,AFG,2013,0,62993698816.0,8.629,7.82,8.629,7.82,-3.618,1.676,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.86,77.477,3.62,76.533,0.0,0.0,0.22,19.82,0.03,2.703,0.0,0.0,153.153,19.50684539015279,,,
34,AFG-2014,AFG,2014,0,64346107904.0,12.65,8.81,12.65,8.81,-8.155,1.539,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.97,83.621,3.71,76.181,0.0,0.0,0.16,13.793,0.03,2.586,0.0,0.0,112.069,15.82140044366689,,,
35,AFG-2015,AFG,2015,0,62783393792.0,-10.043,7.925,-10.043,7.925,3.03,1.586,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.746,3.78,76.21,0.0,0.0,0.15,12.712,0.03,2.542,0.0,0.0,110.169,14.33876012568672,,,
36,AFG-2016,AFG,2016,0,64297426944.0,24.396,9.858,24.396,9.858,13.064,1.793,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.02,84.298,4.33,78.159,0.0,0.0,0.15,12.397,0.04,3.306,0.0,0.0,107.438,15.705018421895886,,,
37,AFG-2017,AFG,2017,0,68752801792.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.05,82.677,4.61,78.401,0.0,0.0,0.18,14.173,0.04,3.15,0.0,0.0,125.984,14.558791927777085,,,
38,AFG-2018,AFG,2018,0,67594969088.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.93,79.487,4.99,81.006,0.0,0.0,0.2,17.094,0.04,3.419,0.0,0.0,136.752,15.772248298329192,,,
39,AFG-2019,AFG,2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.84,79.245,4.91,82.245,0.0,0.0,0.18,16.981,0.04,3.774,0.0,0.0,141.509,18.78232617377578,119.77,0.0,0.0
40,AFG-2020,AFG,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.62,79.487,4.91,86.292,0.0,0.0,0.12,15.385,0.04,5.128,0.0,0.0,115.385,,,,
41,ALB-1980,ALB,1980,1,9993752576.0,-31.906,3.88,-31.906,3.88,-29.942,3.071,21.949,29.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
42,ALB-1981,ALB,1981,1,10248711168.0,8.604,4.214,8.604,4.214,10.0,3.378,-0.273,29.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23705279791916,,,
43,ALB-1982,ALB,1982,1,10517106688.0,10.39,4.652,10.39,4.652,-9.091,3.071,45.455,43.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.066137507808733,,,
44,ALB-1983,ALB,1983,1,10795983872.0,8.824,5.063,8.824,5.063,10.0,3.378,17.188,50.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.188528178049793,,,
45,ALB-1984,ALB,1984,1,11080088576.0,8.649,5.501,8.649,5.501,0.0,3.378,-26.466,37.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.962769844212634,,,
46,ALB-1985,ALB,1985,1,11371456512.0,6.965,5.884,6.965,5.884,-9.091,3.071,-0.273,37.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.253617050457265,,,
47,ALB-1986,ALB,1986,1,11669744640.0,0.791,5.93,0.791,5.93,40.0,4.3,0.0,37.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.177951200393473,,,
48,ALB-1987,ALB,1987,1,11975300096.0,-1.523,5.84,-1.523,5.84,14.286,4.914,-1.818,36.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3098790821892,,,
49,ALB-1988,ALB,1988,1,12296424448.0,2.343,5.977,2.343,5.977,56.25,7.678,-18.295,29.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.65618353236097,,,
50,ALB-1989,ALB,1989,1,12617018368.0,0.412,6.001,0.412,6.001,0.0,7.678,6.526,31.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.894041784313657,,,
51,ALB-1990,ALB,1990,1,12947849216.0,-5.563,5.667,-5.563,5.667,-63.992,2.765,-36.17,20.251,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.85,86.364,0.21,5.983,0.0,0.0,0.45,13.636,0.0,0.0,0.0,0.0,,18.626318720371458,,,
52,ALB-1991,ALB,1991,1,9375844352.0,-47.513,2.975,-47.513,2.975,-44.616,1.531,-36.667,12.826,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.52,92.147,-1.17,-44.151,0.0,0.0,0.3,7.853,0.0,0.0,0.0,0.0,,13.661540393677202,,,
53,ALB-1992,ALB,1992,1,8745680896.0,-66.329,1.002,-66.329,1.002,-27.96,1.103,-41.947,7.446,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.23,95.0,-0.51,-17.647,0.0,0.0,0.17,5.0,0.0,0.0,0.0,0.0,,9.51354598392338,,,
54,ALB-1993,ALB,1993,1,9636359168.0,-41.53,0.586,-41.53,0.586,-70.6,0.324,-0.273,7.426,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.31,93.768,-0.14,-4.13,0.0,0.0,0.22,6.232,0.0,0.0,0.0,0.0,,7.803780941514944,,,
55,ALB-1994,ALB,1994,1,10596127744.0,-21.028,0.462,-21.028,0.462,0.094,0.325,0.0,7.426,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.77,95.685,-0.19,-5.067,0.0,0.0,0.17,4.315,0.0,0.0,0.0,0.0,,5.781671502145965,,,
56,ALB-1995,ALB,1995,1,11600734208.0,-52.663,0.219,-52.663,0.219,0.0,0.325,-9.091,6.75,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.2,93.96,-0.07,-1.591,0.0,0.0,0.27,6.04,0.0,0.0,0.0,0.0,,4.657098852349297,,,
57,ALB-1996,ALB,1996,1,12727380992.0,41.25,0.309,41.25,0.309,-0.052,0.324,-4.74,6.431,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.73,95.659,-0.23,-3.993,0.0,0.0,0.26,4.341,0.0,0.0,0.0,0.0,,4.927575033671372,,,
58,ALB-1997,ALB,1997,1,11396507648.0,-65.487,0.107,-65.487,0.107,-33.333,0.216,-3.782,6.187,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.03,96.176,-0.13,-2.549,0.0,0.0,0.2,3.824,0.0,0.0,0.0,0.0,,4.039987484369389,,,
59,ALB-1998,ALB,1998,1,12466707456.0,25.641,0.134,25.641,0.134,50.0,0.324,-31.266,4.253,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.92,96.282,0.38,6.922,0.0,0.0,0.19,3.718,0.0,0.0,0.0,0.0,,3.916290877822994,,,
60,ALB-1999,ALB,1999,1,14151858176.0,0.0,0.134,0.0,0.134,-33.333,0.216,-11.503,3.764,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.28,97.417,0.36,6.228,0.0,0.0,0.14,2.583,0.0,0.0,0.0,0.0,,4.663155614184318,,,
61,ALB-2000,ALB,2000,1,15214264320.0,-38.775,0.082,-38.775,0.082,50.0,0.324,1.725,3.829,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.59,96.226,1.0,17.331,0.0,0.0,0.18,3.774,0.0,0.0,0.0,0.0,50.314,5.853373468346257,,,
62,ALB-2001,ALB,2001,1,16563844096.0,-30.0,0.057,-30.0,0.057,0.0,0.324,4.946,4.018,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.56,95.442,1.75,31.934,0.0,0.0,0.17,4.558,0.0,0.0,0.0,0.0,56.3,6.529766586158994,,,
63,ALB-2002,ALB,2002,1,17408065536.0,-28.571,0.041,-28.571,0.041,0.0,0.324,6.872,4.294,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.51,93.85,2.11,36.068,0.0,0.0,0.23,6.15,0.0,0.0,0.0,0.0,64.171,7.158374682364675,,,
64,ALB-2003,ALB,2003,1,18465497088.0,286.667,0.159,286.667,0.159,0.0,0.324,5.597,4.534,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.89,97.8,0.92,15.541,0.0,0.0,0.11,2.2,0.0,0.0,0.0,0.0,40.0,7.500666384277926,,,
65,ALB-2004,ALB,2004,1,19587880960.0,0.0,0.159,0.0,0.159,0.0,0.324,-0.084,4.53,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.47,97.504,0.48,7.882,0.0,0.0,0.14,2.496,0.0,0.0,0.0,0.0,40.998,8.501160440203467,,,
66,ALB-2005,ALB,2005,1,20781076480.0,-22.414,0.123,-22.414,0.123,0.0,0.324,4.301,4.725,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.37,98.713,0.37,6.368,0.0,0.0,0.07,1.287,0.0,0.0,0.0,0.0,33.088,8.69180018195473,,,
67,ALB-2006,ALB,2006,1,22124285952.0,0.0,0.123,0.0,0.123,0.0,0.324,10.607,5.227,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.43,98.37,0.61,9.951,0.0,0.0,0.09,1.63,0.0,0.0,0.0,0.0,34.42,9.27572422177682,,,
68,ALB-2007,ALB,2007,1,23574646784.0,0.0,0.123,0.0,0.123,-66.986,0.107,-17.091,4.333,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.79,97.552,2.83,49.736,0.0,0.0,0.07,2.448,0.0,0.0,0.0,0.0,41.958,9.224344970445694,,,
69,ALB-2008,ALB,2008,1,25476937728.0,35.556,0.167,35.556,0.167,193.327,0.314,-6.274,4.061,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.8,100.0,2.43,39.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.684,6.346048474484745,,,
70,ALB-2009,ALB,2009,1,26471389184.0,-83.605,0.027,-83.605,0.027,0.0,0.314,-11.43,3.597,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.2,100.0,1.4,21.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.077,9.05194775586877,,,
71,ALB-2010,ALB,2010,1,27598268416.0,0.0,0.027,0.0,0.027,-67.062,0.103,103.493,7.32,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.57,100.0,-0.95,-14.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.778,6.046797879872685,,,
72,ALB-2011,ALB,2011,1,28452651008.0,-50.054,0.014,-50.054,0.014,0.0,0.103,43.077,10.473,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.13,98.568,3.26,43.758,0.0,0.0,0.06,1.432,0.0,0.0,0.0,0.0,33.413,7.347116443683238,,,
73,ALB-2012,ALB,2012,1,28855377920.0,0.0,0.014,0.0,0.014,70.0,0.176,8.812,11.396,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.72,100.0,2.54,34.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.305,7.513460173840829,,,
74,ALB-2013,ALB,2013,1,29142642688.0,-39.914,0.008,-39.914,0.008,11.765,0.197,0.747,11.481,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.96,100.0,2.32,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.425,6.7872610877568595,,,
75,ALB-2014,ALB,2014,1,29675640832.0,-100.0,0.0,-100.0,0.0,68.421,0.331,20.57,13.843,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.72,100.0,3.07,39.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.305,7.7142595322096,0.0,15.25,0.0
76,ALB-2015,ALB,2015,1,30444531712.0,,0.0,,0.0,9.375,0.362,-1.683,13.61,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.89,100.0,1.4,19.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.769,8.086839014242287,43.58,101.87,74.34
