,id_prod,id_pais,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo
401,P-AUS-1986,AUS,6.377,1142.859,9.24,146.329,-10.658,318.808
402,P-AUS-1987,AUS,4.446,1193.668,2.095,149.395,6.293,338.872
403,P-AUS-1988,AUS,-1.707,1173.293,2.409,152.993,-5.094,321.608
404,P-AUS-1989,AUS,8.641,1274.678,15.741,177.076,-5.683,303.333
405,P-AUS-1990,AUS,4.701,1334.601,16.397,206.111,16.077,352.099
406,P-AUS-1991,AUS,3.733,1384.424,4.684,215.765,-5.49,332.77
407,P-AUS-1992,AUS,6.704,1477.235,8.144,233.336,-1.449,327.947
408,P-AUS-1993,AUS,0.465,1484.1,4.501,243.839,-6.727,305.887
409,P-AUS-1994,AUS,2.211,1516.91,14.794,279.912,7.667,329.339
410,P-AUS-1995,AUS,4.938,1591.818,5.733,295.96,-5.837,310.114
411,P-AUS-1996,AUS,3.07,1640.682,0.128,296.337,5.254,326.406
412,P-AUS-1997,AUS,9.047,1789.114,0.013,296.376,6.136,346.435
413,P-AUS-1998,AUS,2.403,1832.102,2.146,302.737,-5.314,328.026
414,P-AUS-1999,AUS,5.448,1931.918,1.45,307.125,-2.6,319.497
415,P-AUS-2000,AUS,3.359,1996.82,1.562,311.923,35.017,431.377
416,P-AUS-2001,AUS,8.068,2157.921,4.645,326.413,-7.471,399.147
417,P-AUS-2002,AUS,3.064,2224.046,1.102,330.012,-0.621,396.668
418,P-AUS-2003,AUS,3.372,2299.048,2.255,337.452,-13.441,343.35
419,P-AUS-2004,AUS,3.905,2388.831,6.475,359.303,-12.667,299.859
420,P-AUS-2005,AUS,4.708,2501.288,6.415,382.353,-1.768,294.556
