,id_emision,id_pais,emision_co2,intensidad_carbono
159,E-THA-1980,THA,0.0,
160,E-TGO-1980,TGO,0.0,
161,E-TON-1980,TON,0.0,
162,E-TTO-1980,TTO,0.0,
163,E-TUN-1980,TUN,0.0,
164,E-TUR-1980,TUR,0.0,
165,E-TCA-1980,TCA,0.0,
166,E-TUV-1980,TUV,0.0,
167,E-UGA-1980,UGA,0.0,
168,E-ARE-1980,ARE,0.0,
169,E-GBR-1980,GBR,0.0,
170,E-USA-1980,USA,9893.25426,
171,E-URY-1980,URY,0.0,
172,E-VUT-1980,VUT,0.0,
173,E-VEN-1980,VEN,0.0,
174,E-VNM-1980,VNM,0.0,
175,E-ESH-1980,ESH,0.0,
176,E-YEM-1980,YEM,0.0,
177,E-ZMB-1980,ZMB,0.0,
178,E-ZWE-1980,ZWE,0.0,
179,E-AFG-1981,AFG,2.651929036444469,
180,E-ALB-1981,ALB,19.23705279791916,
181,E-DZA-1981,DZA,91.32718180836235,
182,E-ASM-1981,ASM,0.8501414159909395,
183,E-AGO-1981,AGO,6.780626072,
184,E-ATA-1981,ATA,0.28128,
185,E-ATG-1981,ATG,0.81476,
186,E-ARG-1981,ARG,186.05982789985256,
187,E-AUS-1981,AUS,432.0140191400517,
188,E-AUT-1981,AUT,110.52586053810255,
189,E-BHR-1981,BHR,15.518306,
190,E-BGD-1981,BGD,14.218017753982332,
191,E-BRB-1981,BRB,1.941700264,
192,E-BEL-1981,BEL,279.7565598135608,
193,E-BLZ-1981,BLZ,0.451,
194,E-BEN-1981,BEN,0.84134,
195,E-BMU-1981,BMU,1.0614,
196,E-BTN-1981,BTN,0.0088070981325827,
197,E-BOL-1981,BOL,8.27769236,
198,E-BWA-1981,BWA,2.464879951912399,
199,E-BRA-1981,BRA,375.46220165234723,
200,E-VGB-1981,VGB,0.04434,
201,E-BRN-1981,BRN,9.0264952,
202,E-BGR-1981,BGR,182.75722656212656,
203,E-BFA-1981,BFA,0.8365,
204,E-BDI-1981,BDI,0.1962,
205,E-KHM-1981,KHM,0.08192,
206,E-CMR-1981,CMR,4.4589,
207,E-CAN-1981,CAN,845.0988886436448,
208,E-CYM-1981,CYM,0.1956,
209,E-CAF-1981,CAF,0.27874,
210,E-TCD-1981,TCD,0.55242,
211,E-CHL-1981,CHL,43.217231835617625,
212,E-CHN-1981,CHN,3193.392772619728,
213,E-COL-1981,COL,71.55231557615694,
214,E-COM-1981,COM,0.08284,
215,E-COK-1981,COK,0.05624,
216,E-CRI-1981,CRI,4.681949934171005,
217,E-CUB-1981,CUB,59.889210539777935,
218,E-CYP-1981,CYP,5.65868,
219,E-DNK-1981,DNK,124.61622312780743,
220,E-DJI-1981,DJI,2.91666,
221,E-DMA-1981,DMA,0.05358,
222,E-DOM-1981,DOM,10.87056,
223,E-ECU-1981,ECU,24.032462,
224,E-EGY-1981,EGY,81.85658896833299,
225,E-SLV-1981,SLV,3.97802,
226,E-GNQ-1981,GNQ,0.11098,
227,E-SWZ-1981,SWZ,1.3568825876812294,
228,E-ETH-1981,ETH,3.40002,
229,E-FLK-1981,FLK,0.02336,
230,E-FJI-1981,FJI,2.5987030964520104,
231,E-FIN-1981,FIN,111.48307347605692,
232,E-FRA-1981,FRA,944.7411836218223,
233,E-GUF-1981,GUF,0.69982,
234,E-PYF-1981,PYF,0.4218,
235,E-GAB-1981,GAB,3.38041165,
236,E-DEU-1981,DEU,0.0,
237,E-GHA-1981,GHA,4.45332,
238,E-GIB-1981,GIB,0.97762,
239,E-GRC-1981,GRC,101.70799665767865,
240,E-GRL-1981,GRL,0.0,
241,E-GRD-1981,GRD,0.09148,
242,E-GLP-1981,GLP,0.97058,
243,E-GUM-1981,GUM,7.021059758404682,
244,E-GTM-1981,GTM,8.19904,
245,E-GIN-1981,GIN,1.62986,
246,E-GNB-1981,GNB,0.16642,
247,E-GUY-1981,GUY,2.84296,
248,E-HTI-1981,HTI,1.9136176420644802,
249,E-HND-1981,HND,3.39558,
250,E-HKG-1981,HKG,36.248210717878095,
251,E-HUN-1981,HUN,150.1272611938909,
252,E-ISL-1981,ISL,3.5928664616673993,
