,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
499,C-AZE-2005,AZE,,,250.169,0.037,0.022,3.293,94.384,9.234,8.617,,,16.905,63.799,,0.0,,0.0
500,C-AZE-2006,AZE,,,0.0,0.037,0.023,5.713,99.777,-16.329,7.165,,,-10.48,57.113,,0.0,,0.0
501,C-AZE-2007,AZE,,,53.099,0.057,0.039,-11.954,87.85,-6.116,6.684,,,-5.704,53.855,,0.0,,0.0
502,C-AZE-2008,AZE,,,-25.0,0.043,0.029,14.409,100.508,-5.584,6.272,,,-20.052,43.056,,0.0,,0.0
503,C-AZE-2009,AZE,,,0.0,0.043,0.032,-14.614,85.82,3.423,6.447,,,-6.749,40.15,,0.0,,0.006
504,C-AZE-2010,AZE,,,50.0,0.064,0.049,-4.94,81.58,49.294,9.565,,,-1.279,39.636,,0.0,-76.19,0.001
505,C-AZE-2011,AZE,,,-11.111,0.057,0.039,9.518,89.345,-22.357,7.382,,,22.568,48.582,,0.0,-100.0,0.0
506,C-AZE-2012,AZE,,,-25.0,0.043,0.029,4.947,93.766,-31.946,4.993,,,4.587,50.81,,0.0,,0.0
507,C-AZE-2013,AZE,,,-16.667,0.036,0.023,0.444,94.182,-18.226,4.058,,,8.845,55.304,,0.002,,0.002
508,C-AZE-2014,AZE,,,-40.0,0.021,0.014,4.632,98.544,-12.719,3.521,,,-1.826,54.294,262.5,0.008,187.5,0.006
509,C-AZE-2015,AZE,,,66.667,0.036,0.021,13.112,111.466,25.991,4.41,,,1.488,55.102,58.621,0.012,100.0,0.012
510,C-AZE-2016,AZE,,,-60.0,0.014,0.008,-1.937,109.306,19.652,5.245,,,-0.666,54.735,667.391,0.094,395.652,0.061
511,C-AZE-2017,AZE,,,0.0,0.014,0.009,-2.873,106.166,-10.866,4.648,,,0.89,55.222,5.382,0.099,-3.07,0.059
512,C-AZE-2018,AZE,,,-50.0,0.007,0.004,1.876,108.158,1.237,4.678,,,4.807,57.876,5.538,0.104,274.208,0.219
513,C-AZE-2019,AZE,,,30.0,0.009,0.005,9.0,117.892,-11.493,4.125,,,0.079,57.922,12.583,0.117,27.449,0.278
514,C-AZE-2020,AZE,,,0.179,0.009,0.005,4.899,123.668,-31.653,2.809,,,-13.328,50.202,6.335,0.123,-8.824,0.252
515,C-AZE-2021,AZE,,,-0.179,0.009,0.005,2.86,127.205,19.43,3.342,,,3.577,51.998,17.447,0.144,-4.891,0.239
516,C-BHS-1980,BHS,,,,,,,,,,,,,,,,,
517,C-BHS-1981,BHS,,,,,,,,,,,,,,,,,
518,C-BHS-1982,BHS,,,,,,,,,,,,,,,,,
519,C-BHS-1983,BHS,,,,,,,,,,,,,,,,,
520,C-BHS-1984,BHS,,,,,,,,,,,,,,,,,
521,C-BHS-1985,BHS,,,,,,,,,,,,,,,,,
522,C-BHS-1986,BHS,,,,,,,,,,,,,,,,,
523,C-BHS-1987,BHS,,,,,,,,,,,,,,,,,
524,C-BHS-1988,BHS,,,,,,,,,,,,,,,,,
