,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
41,G-ALB-1980,ALB,2682697.0,9993752576.0,,,,,,,,,,,,,,,,,,
42,G-ALB-1981,ALB,2737018.0,10248711168.0,,,,,,,,,,,,,,,,,,
43,G-ALB-1982,ALB,2790284.0,10517106688.0,,,,,,,,,,,,,,,,,,
44,G-ALB-1983,ALB,2844867.0,10795983872.0,,,,,,,,,,,,,,,,,,
45,G-ALB-1984,ALB,2904142.0,11080088576.0,,,,,,,,,,,,,,,,,,
46,G-ALB-1985,ALB,2969671.0,11371456512.0,,,,,,,,,,,,,,,,,,
47,G-ALB-1986,ALB,3044201.0,11669744640.0,,,,,,,,,,,,,,,,,,
48,G-ALB-1987,ALB,3124892.0,11975300096.0,,,,,,,,,,,,,,,,,,
49,G-ALB-1988,ALB,3200972.0,12296424448.0,,,,,,,,,,,,,,,,,,
50,G-ALB-1989,ALB,3257913.0,12617018368.0,,,,,,,,,,,,,,,,,,
51,G-ALB-1990,ALB,3286070.0,12947849216.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,86.364,0.21,5.983,0.0,0.0,0.45,13.636,0.0,0.0,0.0,0.0
52,G-ALB-1991,ALB,3280397.0,9375844352.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,92.147,-1.17,-44.151,0.0,0.0,0.3,7.853,0.0,0.0,0.0,0.0
53,G-ALB-1992,ALB,3245887.0,8745680896.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,95.0,-0.51,-17.647,0.0,0.0,0.17,5.0,0.0,0.0,0.0,0.0
54,G-ALB-1993,ALB,3195196.0,9636359168.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,93.768,-0.14,-4.13,0.0,0.0,0.22,6.232,0.0,0.0,0.0,0.0
55,G-ALB-1994,ALB,3146518.0,10596127744.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,95.685,-0.19,-5.067,0.0,0.0,0.17,4.315,0.0,0.0,0.0,0.0
56,G-ALB-1995,ALB,3112923.0,11600734208.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,93.96,-0.07,-1.591,0.0,0.0,0.27,6.04,0.0,0.0,0.0,0.0
57,G-ALB-1996,ALB,3098699.0,12727380992.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,95.659,-0.23,-3.993,0.0,0.0,0.26,4.341,0.0,0.0,0.0,0.0
58,G-ALB-1997,ALB,3099747.0,11396507648.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,96.176,-0.13,-2.549,0.0,0.0,0.2,3.824,0.0,0.0,0.0,0.0
59,G-ALB-1998,ALB,3110699.0,12466707456.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,96.282,0.38,6.922,0.0,0.0,0.19,3.718,0.0,0.0,0.0,0.0
60,G-ALB-1999,ALB,3122700.0,14151858176.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,97.417,0.36,6.228,0.0,0.0,0.14,2.583,0.0,0.0,0.0,0.0
61,G-ALB-2000,ALB,3129246.0,15214264320.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,96.226,1.0,17.331,0.0,0.0,0.18,3.774,0.0,0.0,0.0,0.0
62,G-ALB-2001,ALB,3129701.0,16563844096.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,95.442,1.75,31.934,0.0,0.0,0.17,4.558,0.0,0.0,0.0,0.0
